name,birthname,偶像练习生,青春有你,青春有你2,青春有你3,创造101,创造营2019,创造营2020,创造营2021,明日之子,明日之子2,明日之子3,明日之子4,明日创作计划,下一站传奇,以团之名,少年之名,snh48,akb48,gp999,dd52,中国好男儿,快乐男声2013,快乐女声2016,快乐男声2017,流行之王,星动亚洲,燃烧吧少年,A级战场,原子少年,加油美少女,SING女团,蜜蜂少女,other,gender
蔡徐坤,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,Male
陈立农,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
范丞丞,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
黄明昊,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
林彦俊,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
朱正廷,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
王子异,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
王琳凯,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
尤长靖,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
毕雯珺,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
钱正昊,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
卜凡,卜凡凡,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
李希侃,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,Male
朱星杰,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
李英超,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
郑锐彬,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
董又霖,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
秦奋,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
林超泽,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
徐圣恩,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,Male
周彦辰,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
木子洋,李振洋,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
李权哲,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
韩沐伯,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,Male
周锐,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
丁泽仁,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
岳明辉,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
杨非同,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
娄滋博,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
罗正,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
陆定昊,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
黄新淳,,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,Male
何东东,何海东,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,Male
李让,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
余明君,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
左叶,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,Male
董岩磊,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
胡致邦,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,Male
武连杰,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
覃俊毅,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
张奕轩,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
韩雍杰,,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,Male
黄书豪,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
